loan_id,pool_id,risk_score,risk_classification
LN-0001807,POOL-03,24.1,LOW
LN-0001808,POOL-05,32.1,MODERATE
LN-0001809,POOL-03,75.1,CRITICAL
LN-0001810,POOL-07,13.1,LOW
LN-0001811,POOL-05,26.1,LOW
LN-0001812,POOL-08,16.7,LOW
LN-0001813,POOL-03,29.5,LOW
LN-0001814,POOL-04,8.7,LOW
LN-0001815,POOL-07,15.1,LOW
LN-0001816,POOL-02,20.4,LOW
LN-0001817,POOL-05,23.7,LOW
LN-0001818,POOL-08,15.5,LOW
LN-0001819,POOL-02,17.5,LOW
LN-0001820,POOL-09,21.3,LOW
LN-0001821,POOL-01,13.3,LOW
LN-0001822,POOL-10,11.4,LOW
LN-0001823,POOL-02,21.2,LOW
LN-0001824,POOL-01,13.4,LOW
LN-0001825,POOL-06,16.5,LOW
LN-0001826,POOL-05,14.6,LOW
LN-0001827,POOL-05,20.8,LOW
LN-0001828,POOL-08,20.2,LOW
LN-0001829,POOL-10,48.2,MODERATE
LN-0001830,POOL-01,61.8,HIGH
LN-0001831,POOL-09,76.4,CRITICAL
LN-0001832,POOL-06,18.5,LOW
LN-0001833,POOL-09,16.9,LOW
LN-0001834,POOL-10,22.7,LOW
LN-0001835,POOL-02,12.5,LOW
LN-0001836,POOL-04,21.3,LOW
LN-0001837,POOL-03,32.3,MODERATE
LN-0001838,POOL-03,21.6,LOW
LN-0001839,POOL-05,18.8,LOW
LN-0001840,POOL-04,24.2,LOW
LN-0001841,POOL-06,20.4,LOW
LN-0001842,POOL-04,11.4,LOW
LN-0001843,POOL-01,10.1,LOW
LN-0001844,POOL-06,17.7,LOW
LN-0001845,POOL-08,12.6,LOW
LN-0001846,POOL-04,23.7,LOW
LN-0001847,POOL-06,24.1,LOW
LN-0001848,POOL-02,19.9,LOW
LN-0001849,POOL-04,24.6,LOW
LN-0001850,POOL-02,22.0,LOW
LN-0001851,POOL-09,26.4,LOW
LN-0001852,POOL-10,14.1,LOW
LN-0001853,POOL-05,16.2,LOW
LN-0001854,POOL-10,21.7,LOW
LN-0001855,POOL-10,19.0,LOW
LN-0001856,POOL-03,27.1,LOW
LN-0001857,POOL-03,18.2,LOW
LN-0001858,POOL-07,12.8,LOW
LN-0001859,POOL-07,19.3,LOW
LN-0001860,POOL-04,27.5,LOW
LN-0001861,POOL-07,25.7,LOW
LN-0001862,POOL-04,25.6,LOW
LN-0001863,POOL-06,20.3,LOW
LN-0001864,POOL-05,31.3,MODERATE
LN-0001865,POOL-04,20.1,LOW
LN-0001866,POOL-03,71.5,HIGH
LN-0001867,POOL-09,15.1,LOW
LN-0001868,POOL-01,20.9,LOW
LN-0001869,POOL-09,19.4,LOW
LN-0001870,POOL-05,17.1,LOW
LN-0001871,POOL-02,17.3,LOW
LN-0001872,POOL-05,20.1,LOW
LN-0001873,POOL-10,13.0,LOW
LN-0001874,POOL-03,21.3,LOW
LN-0001875,POOL-06,24.1,LOW
LN-0001876,POOL-06,77.3,CRITICAL
LN-0001877,POOL-05,22.7,LOW
LN-0001878,POOL-02,17.5,LOW
LN-0001879,POOL-01,12.6,LOW
LN-0001880,POOL-04,25.6,LOW
LN-0001881,POOL-01,19.8,LOW
LN-0001882,POOL-07,27.3,LOW
LN-0001883,POOL-03,83.6,CRITICAL
LN-0001884,POOL-09,20.3,LOW
LN-0001885,POOL-05,20.5,LOW
LN-0001886,POOL-10,23.8,LOW
LN-0001887,POOL-09,11.2,LOW
LN-0001888,POOL-01,12.0,LOW
LN-0001889,POOL-04,18.2,LOW
LN-0001890,POOL-03,20.3,LOW
LN-0001891,POOL-02,13.8,LOW
LN-0001892,POOL-06,17.9,LOW
LN-0001893,POOL-01,17.6,LOW
LN-0001894,POOL-05,17.8,LOW
LN-0001895,POOL-09,16.0,LOW
LN-0001896,POOL-07,55.7,HIGH
LN-0001897,POOL-03,63.2,HIGH
LN-0001898,POOL-06,13.4,LOW
LN-0001899,POOL-06,21.5,LOW
LN-0001900,POOL-03,35.2,MODERATE
LN-0001901,POOL-05,13.1,LOW
LN-0001902,POOL-02,13.2,LOW
LN-0001903,POOL-07,12.8,LOW
LN-0001904,POOL-05,15.2,LOW
LN-0001905,POOL-08,13.8,LOW
LN-0001906,POOL-05,16.6,LOW
LN-0001907,POOL-04,16.3,LOW
LN-0001908,POOL-08,21.7,LOW
LN-0001909,POOL-06,19.8,LOW
LN-0001910,POOL-06,72.7,HIGH
LN-0001911,POOL-01,13.4,LOW
LN-0001912,POOL-01,23.5,LOW
LN-0001913,POOL-07,20.6,LOW
LN-0001914,POOL-04,19.3,LOW
LN-0001915,POOL-10,16.3,LOW
LN-0001916,POOL-03,18.8,LOW
LN-0001917,POOL-07,15.2,LOW
LN-0001918,POOL-01,23.5,LOW
LN-0001919,POOL-08,17.6,LOW
LN-0001920,POOL-07,22.9,LOW
LN-0001921,POOL-10,19.2,LOW
LN-0001922,POOL-07,14.5,LOW
LN-0001923,POOL-07,22.3,LOW
LN-0001924,POOL-10,31.1,MODERATE
LN-0001925,POOL-07,19.6,LOW
LN-0001926,POOL-08,73.4,HIGH
LN-0001927,POOL-04,10.3,LOW
LN-0001928,POOL-02,12.9,LOW
LN-0001929,POOL-06,49.6,MODERATE
LN-0001930,POOL-09,18.3,LOW
LN-0001931,POOL-04,19.2,LOW
LN-0001932,POOL-03,12.0,LOW
LN-0001933,POOL-06,24.9,LOW
LN-0001934,POOL-05,19.0,LOW
LN-0001935,POOL-04,20.9,LOW
LN-0001936,POOL-01,12.8,LOW
LN-0001937,POOL-03,20.7,LOW
LN-0001938,POOL-04,43.8,MODERATE
LN-0001939,POOL-02,27.2,LOW
LN-0001940,POOL-03,19.1,LOW
LN-0001941,POOL-04,17.2,LOW
LN-0001942,POOL-07,20.9,LOW
LN-0001943,POOL-07,29.2,LOW
LN-0001944,POOL-10,13.6,LOW
LN-0001945,POOL-02,18.2,LOW
LN-0001946,POOL-01,10.2,LOW
LN-0001947,POOL-03,16.7,LOW
LN-0001948,POOL-06,19.6,LOW
LN-0001949,POOL-07,18.0,LOW
LN-0001950,POOL-02,26.0,LOW
LN-0001951,POOL-04,18.0,LOW
LN-0001952,POOL-09,16.5,LOW
LN-0001953,POOL-03,30.6,MODERATE
LN-0001954,POOL-02,21.2,LOW
LN-0001955,POOL-03,29.7,LOW
LN-0001956,POOL-09,36.4,MODERATE
LN-0001957,POOL-08,16.2,LOW
LN-0001958,POOL-01,15.2,LOW
LN-0001959,POOL-02,72.2,HIGH
LN-0001960,POOL-09,12.3,LOW
LN-0001961,POOL-05,16.0,LOW
LN-0001962,POOL-04,19.0,LOW
LN-0001963,POOL-08,33.2,MODERATE
LN-0001964,POOL-02,15.0,LOW
LN-0001965,POOL-08,19.0,LOW
LN-0001966,POOL-07,27.3,LOW
LN-0001967,POOL-05,33.3,MODERATE
LN-0001968,POOL-10,14.8,LOW
LN-0001969,POOL-01,12.6,LOW
LN-0001970,POOL-03,11.8,LOW
LN-0001971,POOL-05,13.9,LOW
LN-0001972,POOL-10,11.5,LOW
LN-0001973,POOL-05,21.9,LOW
LN-0001974,POOL-04,17.1,LOW
LN-0001975,POOL-03,27.4,LOW
LN-0001976,POOL-07,9.4,LOW
LN-0001977,POOL-09,8.7,LOW
LN-0001978,POOL-04,22.2,LOW
LN-0001979,POOL-02,24.1,LOW
LN-0001980,POOL-01,27.8,LOW
LN-0001981,POOL-01,66.1,HIGH
LN-0001982,POOL-08,21.0,LOW
LN-0001983,POOL-04,15.2,LOW
LN-0001984,POOL-04,21.9,LOW
LN-0001985,POOL-07,12.3,LOW
LN-0001986,POOL-08,18.5,LOW
LN-0001987,POOL-02,37.7,MODERATE
LN-0001988,POOL-07,26.4,LOW
LN-0001989,POOL-07,24.9,LOW
LN-0001990,POOL-08,20.0,LOW
LN-0001991,POOL-07,29.2,LOW
LN-0001992,POOL-08,16.1,LOW
LN-0001993,POOL-08,22.0,LOW
LN-0001994,POOL-01,18.0,LOW
LN-0001995,POOL-01,15.2,LOW
LN-0001996,POOL-05,20.2,LOW
LN-0001997,POOL-10,20.5,LOW
LN-0001998,POOL-09,19.4,LOW
LN-0001999,POOL-06,12.7,LOW
LN-0002000,POOL-07,16.5,LOW
LN-0002001,POOL-01,11.7,LOW
LN-0002002,POOL-05,11.5,LOW
LN-0002003,POOL-08,21.7,LOW
LN-0002004,POOL-02,22.5,LOW
LN-0002005,POOL-05,22.0,LOW
LN-0002006,POOL-10,15.9,LOW
LN-0002007,POOL-08,19.4,LOW
LN-0002008,POOL-05,20.4,LOW
LN-0002009,POOL-06,10.2,LOW
LN-0002010,POOL-02,27.8,LOW
LN-0002011,POOL-05,19.5,LOW
LN-0002012,POOL-08,13.7,LOW
LN-0002013,POOL-01,72.7,HIGH
LN-0002014,POOL-06,19.5,LOW
LN-0002015,POOL-02,11.4,LOW
LN-0002016,POOL-07,11.8,LOW
LN-0002017,POOL-07,20.7,LOW
LN-0002018,POOL-05,28.1,LOW
LN-0002019,POOL-08,20.5,LOW
LN-0002020,POOL-07,15.8,LOW
LN-0002021,POOL-10,50.3,HIGH
LN-0002022,POOL-01,13.6,LOW
LN-0002023,POOL-09,19.2,LOW
LN-0002024,POOL-09,25.0,LOW
LN-0002025,POOL-07,24.9,LOW
LN-0002026,POOL-10,12.4,LOW
LN-0002027,POOL-03,73.8,HIGH
LN-0002028,POOL-01,25.5,LOW
LN-0002029,POOL-10,9.9,LOW
LN-0002030,POOL-05,11.3,LOW
LN-0002031,POOL-10,18.4,LOW
LN-0002032,POOL-10,20.0,LOW
LN-0002033,POOL-10,19.8,LOW
LN-0002034,POOL-01,18.3,LOW
LN-0002035,POOL-06,18.7,LOW
LN-0002036,POOL-04,21.8,LOW
LN-0002037,POOL-05,13.9,LOW
LN-0002038,POOL-10,22.0,LOW
LN-0002039,POOL-07,34.2,MODERATE
LN-0002040,POOL-04,53.0,HIGH
LN-0002041,POOL-02,11.8,LOW
LN-0002042,POOL-07,19.5,LOW
LN-0002043,POOL-02,12.4,LOW
LN-0002044,POOL-08,21.1,LOW
LN-0002045,POOL-05,11.5,LOW
LN-0002046,POOL-03,21.2,LOW
LN-0002047,POOL-09,29.9,LOW
LN-0002048,POOL-07,23.0,LOW
LN-0002049,POOL-02,75.6,CRITICAL
LN-0002050,POOL-09,25.5,LOW
LN-0002051,POOL-02,14.8,LOW
LN-0002052,POOL-06,21.4,LOW
LN-0002053,POOL-08,19.0,LOW
LN-0002054,POOL-05,17.6,LOW
LN-0002055,POOL-09,11.0,LOW
LN-0002056,POOL-09,23.8,LOW
LN-0002057,POOL-03,27.6,LOW
LN-0002058,POOL-05,20.6,LOW
LN-0002059,POOL-09,23.9,LOW
LN-0002060,POOL-07,28.8,LOW
LN-0002061,POOL-03,74.6,HIGH
LN-0002062,POOL-04,15.3,LOW
LN-0002063,POOL-04,20.0,LOW
LN-0002064,POOL-09,23.5,LOW
LN-0002065,POOL-04,20.6,LOW
LN-0002066,POOL-10,20.6,LOW
LN-0002067,POOL-04,75.5,CRITICAL
LN-0002068,POOL-06,10.9,LOW
LN-0002069,POOL-03,18.0,LOW
LN-0002070,POOL-01,14.8,LOW
LN-0002071,POOL-05,12.2,LOW
LN-0002072,POOL-02,69.8,HIGH
LN-0002073,POOL-02,24.9,LOW
LN-0002074,POOL-01,12.1,LOW
LN-0002075,POOL-02,15.2,LOW
LN-0002076,POOL-07,9.5,LOW
LN-0002077,POOL-09,30.4,MODERATE
LN-0002078,POOL-05,21.9,LOW
LN-0002079,POOL-10,20.6,LOW
LN-0002080,POOL-06,19.9,LOW
LN-0002081,POOL-01,14.4,LOW
LN-0002082,POOL-04,22.4,LOW
LN-0002083,POOL-05,25.0,LOW
LN-0002084,POOL-01,19.7,LOW
LN-0002085,POOL-01,9.3,LOW
LN-0002086,POOL-10,15.4,LOW
LN-0002087,POOL-02,19.3,LOW
LN-0002088,POOL-10,26.8,LOW
LN-0002089,POOL-10,38.0,MODERATE
LN-0002090,POOL-06,19.9,LOW
LN-0002091,POOL-10,14.2,LOW
LN-0002092,POOL-08,19.3,LOW
LN-0002093,POOL-07,19.9,LOW
LN-0002094,POOL-01,12.4,LOW
LN-0002095,POOL-05,15.9,LOW
LN-0002096,POOL-06,66.2,HIGH
LN-0002097,POOL-08,60.7,HIGH
LN-0002098,POOL-01,9.7,LOW
LN-0002099,POOL-08,12.6,LOW
LN-0002100,POOL-07,11.6,LOW
LN-0002101,POOL-07,11.8,LOW
LN-0002102,POOL-06,36.3,MODERATE
LN-0002103,POOL-10,20.4,LOW
LN-0002104,POOL-04,19.4,LOW
LN-0002105,POOL-07,16.1,LOW
LN-0002106,POOL-02,74.4,HIGH
LN-0002107,POOL-10,80.0,CRITICAL
LN-0002108,POOL-02,26.0,LOW
LN-0002109,POOL-08,12.8,LOW
LN-0002110,POOL-10,22.8,LOW
LN-0002111,POOL-10,12.1,LOW
LN-0002112,POOL-05,11.1,LOW
LN-0002113,POOL-06,30.9,MODERATE
LN-0002114,POOL-09,18.6,LOW
LN-0002115,POOL-05,66.2,HIGH
LN-0002116,POOL-09,64.2,HIGH
LN-0002117,POOL-08,22.1,LOW
LN-0002118,POOL-05,62.8,HIGH
LN-0002119,POOL-07,16.4,LOW
LN-0002120,POOL-03,12.2,LOW
LN-0002121,POOL-09,20.8,LOW
LN-0002122,POOL-01,21.9,LOW
LN-0002123,POOL-06,9.6,LOW
LN-0002124,POOL-04,16.4,LOW
LN-0002125,POOL-07,19.1,LOW
LN-0002126,POOL-10,36.5,MODERATE
LN-0002127,POOL-06,13.5,LOW
LN-0002128,POOL-03,21.0,LOW
LN-0002129,POOL-09,14.4,LOW
LN-0002130,POOL-02,21.1,LOW
LN-0002131,POOL-05,20.1,LOW
LN-0002132,POOL-05,23.4,LOW
LN-0002133,POOL-08,11.6,LOW
LN-0002134,POOL-01,14.8,LOW
LN-0002135,POOL-08,13.9,LOW
LN-0002136,POOL-10,20.4,LOW
LN-0002137,POOL-05,25.8,LOW
LN-0002138,POOL-01,19.1,LOW
LN-0002139,POOL-01,15.7,LOW
LN-0002140,POOL-06,12.5,LOW
LN-0002141,POOL-03,20.3,LOW
LN-0002142,POOL-10,70.0,HIGH
LN-0002143,POOL-01,69.4,HIGH
LN-0002144,POOL-05,24.6,LOW
LN-0002145,POOL-05,21.3,LOW
LN-0002146,POOL-08,13.4,LOW
LN-0002147,POOL-01,12.2,LOW
LN-0002148,POOL-04,20.2,LOW
LN-0002149,POOL-08,13.0,LOW
LN-0002150,POOL-01,18.6,LOW
LN-0002151,POOL-04,37.2,MODERATE
LN-0002152,POOL-04,74.8,HIGH
LN-0002153,POOL-01,15.2,LOW
LN-0002154,POOL-04,12.0,LOW
LN-0002155,POOL-10,12.8,LOW
LN-0002156,POOL-03,20.9,LOW
LN-0002157,POOL-07,26.4,LOW
LN-0002158,POOL-02,24.5,LOW
LN-0002159,POOL-08,16.1,LOW
LN-0002160,POOL-09,14.1,LOW
LN-0002161,POOL-02,11.7,LOW
LN-0002162,POOL-09,16.8,LOW
LN-0002163,POOL-10,13.5,LOW
LN-0002164,POOL-05,18.8,LOW
LN-0002165,POOL-05,24.4,LOW
LN-0002166,POOL-02,76.2,CRITICAL
LN-0002167,POOL-03,20.7,LOW
LN-0002168,POOL-07,23.4,LOW
LN-0002169,POOL-05,15.4,LOW
LN-0002170,POOL-02,11.6,LOW
LN-0002171,POOL-03,17.5,LOW
LN-0002172,POOL-09,15.0,LOW
LN-0002173,POOL-10,19.8,LOW
LN-0002174,POOL-07,17.0,LOW
LN-0002175,POOL-04,15.9,LOW
LN-0002176,POOL-02,25.7,LOW
LN-0002177,POOL-04,22.5,LOW
LN-0002178,POOL-06,11.7,LOW
LN-0002179,POOL-06,31.0,MODERATE
LN-0002180,POOL-01,41.2,MODERATE
LN-0002181,POOL-06,13.1,LOW
LN-0002182,POOL-09,13.7,LOW
LN-0002183,POOL-09,10.7,LOW
LN-0002184,POOL-07,18.2,LOW
LN-0002185,POOL-01,14.1,LOW
LN-0002186,POOL-05,11.7,LOW
LN-0002187,POOL-05,80.4,CRITICAL
LN-0002188,POOL-06,21.6,LOW
LN-0002189,POOL-01,15.3,LOW
LN-0002190,POOL-08,71.0,HIGH
LN-0002191,POOL-05,19.6,LOW
LN-0002192,POOL-09,9.6,LOW
LN-0002193,POOL-05,21.6,LOW
LN-0002194,POOL-10,15.0,LOW
LN-0002195,POOL-08,19.7,LOW
LN-0002196,POOL-07,26.4,LOW
LN-0002197,POOL-07,20.3,LOW
LN-0002198,POOL-09,31.6,MODERATE
LN-0002199,POOL-01,17.1,LOW
LN-0002200,POOL-10,12.7,LOW
LN-0002201,POOL-07,12.4,LOW
LN-0002202,POOL-08,20.2,LOW
LN-0002203,POOL-04,22.2,LOW
LN-0002204,POOL-07,27.2,LOW
LN-0002205,POOL-04,18.6,LOW
LN-0002206,POOL-03,25.3,LOW
LN-0002207,POOL-03,24.7,LOW
LN-0002208,POOL-03,16.0,LOW
LN-0002209,POOL-04,20.3,LOW
LN-0002210,POOL-09,14.1,LOW
LN-0002211,POOL-06,23.9,LOW
LN-0002212,POOL-07,19.5,LOW
LN-0002213,POOL-06,21.8,LOW
LN-0002214,POOL-01,73.5,HIGH
LN-0002215,POOL-07,18.8,LOW
LN-0002216,POOL-08,14.9,LOW
LN-0002217,POOL-07,19.6,LOW
LN-0002218,POOL-07,19.5,LOW
LN-0002219,POOL-06,15.6,LOW
LN-0002220,POOL-10,74.7,HIGH
LN-0002221,POOL-01,21.5,LOW
LN-0002222,POOL-03,24.5,LOW
LN-0002223,POOL-09,75.0,CRITICAL
LN-0002224,POOL-05,19.4,LOW
LN-0002225,POOL-07,18.3,LOW
LN-0002226,POOL-08,25.8,LOW
LN-0002227,POOL-08,24.8,LOW
LN-0002228,POOL-10,16.3,LOW
LN-0002229,POOL-10,12.1,LOW
LN-0002230,POOL-10,19.3,LOW
LN-0002231,POOL-09,21.8,LOW
LN-0002232,POOL-06,12.0,LOW
LN-0002233,POOL-08,14.0,LOW
LN-0002234,POOL-06,18.3,LOW
LN-0002235,POOL-03,25.9,LOW
LN-0002236,POOL-07,14.6,LOW
LN-0002237,POOL-08,18.7,LOW
LN-0002238,POOL-06,13.7,LOW
LN-0002239,POOL-05,75.6,CRITICAL
LN-0002240,POOL-02,25.4,LOW
LN-0002241,POOL-10,69.0,HIGH
LN-0002242,POOL-08,12.9,LOW
LN-0002243,POOL-04,9.6,LOW
LN-0002244,POOL-01,24.0,LOW
LN-0002245,POOL-06,10.8,LOW
LN-0002246,POOL-06,18.7,LOW
LN-0002247,POOL-06,73.6,HIGH
LN-0002248,POOL-05,22.9,LOW
LN-0002249,POOL-08,26.2,LOW
LN-0002250,POOL-08,20.0,LOW
LN-0002251,POOL-03,37.8,MODERATE
LN-0002252,POOL-06,11.5,LOW
LN-0002253,POOL-10,17.1,LOW
LN-0002254,POOL-05,19.5,LOW
LN-0002255,POOL-08,10.6,LOW
LN-0002256,POOL-07,17.5,LOW
LN-0002257,POOL-07,21.2,LOW
LN-0002258,POOL-09,71.4,HIGH
LN-0002259,POOL-02,10.7,LOW
LN-0002260,POOL-03,15.5,LOW
LN-0002261,POOL-02,20.1,LOW
LN-0002262,POOL-09,22.1,LOW
LN-0002263,POOL-01,26.4,LOW
LN-0002264,POOL-09,11.0,LOW
LN-0002265,POOL-01,13.8,LOW
LN-0002266,POOL-07,20.8,LOW
LN-0002267,POOL-07,11.3,LOW
LN-0002268,POOL-04,38.5,MODERATE
LN-0002269,POOL-08,22.8,LOW
LN-0002270,POOL-06,20.4,LOW
LN-0002271,POOL-04,12.5,LOW
LN-0002272,POOL-01,18.4,LOW
LN-0002273,POOL-05,25.4,LOW
LN-0002274,POOL-02,19.8,LOW
LN-0002275,POOL-02,22.3,LOW
LN-0002276,POOL-01,70.4,HIGH
LN-0002277,POOL-06,13.9,LOW
LN-0002278,POOL-02,19.5,LOW
LN-0002279,POOL-03,15.1,LOW
LN-0002280,POOL-05,69.5,HIGH
LN-0002281,POOL-09,10.0,LOW
LN-0002282,POOL-06,10.7,LOW
LN-0002283,POOL-03,16.7,LOW
LN-0002284,POOL-08,25.0,LOW
LN-0002285,POOL-03,12.7,LOW
LN-0002286,POOL-02,9.8,LOW
LN-0002287,POOL-10,25.5,LOW
LN-0002288,POOL-06,18.4,LOW
LN-0002289,POOL-10,55.8,HIGH
LN-0002290,POOL-02,15.2,LOW
LN-0002291,POOL-10,29.7,LOW
LN-0002292,POOL-05,11.5,LOW
LN-0002293,POOL-02,12.6,LOW
LN-0002294,POOL-03,22.0,LOW
LN-0002295,POOL-06,22.7,LOW
LN-0002296,POOL-06,29.0,LOW
LN-0002297,POOL-07,83.5,CRITICAL
LN-0002298,POOL-06,19.0,LOW
LN-0002299,POOL-05,12.6,LOW
LN-0002300,POOL-02,10.0,LOW
LN-0002301,POOL-03,18.8,LOW
LN-0002302,POOL-06,19.5,LOW
LN-0002303,POOL-02,14.3,LOW
LN-0002304,POOL-02,14.9,LOW
LN-0002305,POOL-01,10.9,LOW
LN-0002306,POOL-02,66.9,HIGH
LN-0002307,POOL-09,20.0,LOW
LN-0002308,POOL-01,31.6,MODERATE
LN-0002309,POOL-10,13.8,LOW
LN-0002310,POOL-01,12.7,LOW
LN-0002311,POOL-04,19.5,LOW
LN-0002312,POOL-02,13.3,LOW
LN-0002313,POOL-10,14.4,LOW
LN-0002314,POOL-10,74.2,HIGH
LN-0002315,POOL-03,14.1,LOW
LN-0002316,POOL-10,28.7,LOW
LN-0002317,POOL-06,10.3,LOW
LN-0002318,POOL-01,23.3,LOW
LN-0002319,POOL-09,24.2,LOW
LN-0002320,POOL-02,75.8,CRITICAL
LN-0002321,POOL-06,23.7,LOW
LN-0002322,POOL-04,14.8,LOW
LN-0002323,POOL-08,20.0,LOW
LN-0002324,POOL-02,62.3,HIGH
LN-0002325,POOL-05,20.3,LOW
LN-0002326,POOL-02,12.9,LOW
LN-0002327,POOL-05,24.4,LOW
LN-0002328,POOL-10,47.9,MODERATE
LN-0002329,POOL-01,19.7,LOW
LN-0002330,POOL-04,18.8,LOW
LN-0002331,POOL-03,30.8,MODERATE
LN-0002332,POOL-04,11.0,LOW
LN-0002333,POOL-04,22.3,LOW
LN-0002334,POOL-09,20.0,LOW
LN-0002335,POOL-02,23.8,LOW
LN-0002336,POOL-05,14.2,LOW
LN-0002337,POOL-10,70.4,HIGH
LN-0002338,POOL-04,26.6,LOW
LN-0002339,POOL-03,20.6,LOW
LN-0002340,POOL-10,17.1,LOW
LN-0002341,POOL-02,19.7,LOW
LN-0002342,POOL-04,41.7,MODERATE
LN-0002343,POOL-06,82.9,CRITICAL
LN-0002344,POOL-02,20.7,LOW
LN-0002345,POOL-09,18.8,LOW
LN-0002346,POOL-03,23.7,LOW
LN-0002347,POOL-06,23.0,LOW
LN-0002348,POOL-03,8.0,LOW
LN-0002349,POOL-02,68.9,HIGH
LN-0002350,POOL-01,17.0,LOW
LN-0002351,POOL-03,14.7,LOW
LN-0002352,POOL-08,26.5,LOW
LN-0002353,POOL-10,14.1,LOW
LN-0002354,POOL-02,28.9,LOW
LN-0002355,POOL-01,13.8,LOW
LN-0002356,POOL-08,18.4,LOW
LN-0002357,POOL-01,18.4,LOW
LN-0002358,POOL-03,37.9,MODERATE
LN-0002359,POOL-08,21.6,LOW
LN-0002360,POOL-03,20.2,LOW
LN-0002361,POOL-08,9.5,LOW
LN-0002362,POOL-10,11.9,LOW
LN-0002363,POOL-04,12.1,LOW
LN-0002364,POOL-06,24.2,LOW
LN-0002365,POOL-08,15.6,LOW
LN-0002366,POOL-01,20.1,LOW
LN-0002367,POOL-04,17.8,LOW
LN-0002368,POOL-10,26.8,LOW
LN-0002369,POOL-07,18.1,LOW
LN-0002370,POOL-09,18.6,LOW
LN-0002371,POOL-08,15.9,LOW
LN-0002372,POOL-03,20.7,LOW
LN-0002373,POOL-02,31.2,MODERATE
LN-0002374,POOL-01,12.1,LOW
LN-0002375,POOL-09,9.8,LOW
LN-0002376,POOL-06,16.8,LOW
LN-0002377,POOL-02,21.2,LOW
LN-0002378,POOL-10,12.9,LOW
LN-0002379,POOL-06,21.5,LOW
LN-0002380,POOL-06,71.2,HIGH
LN-0002381,POOL-08,30.6,MODERATE
LN-0002382,POOL-03,18.9,LOW
LN-0002383,POOL-06,25.8,LOW
LN-0002384,POOL-01,22.8,LOW
LN-0002385,POOL-03,20.9,LOW
LN-0002386,POOL-05,20.4,LOW
LN-0002387,POOL-07,12.8,LOW
LN-0002388,POOL-04,14.1,LOW
LN-0002389,POOL-02,28.9,LOW
LN-0002390,POOL-10,13.7,LOW
LN-0002391,POOL-08,24.7,LOW
LN-0002392,POOL-03,35.2,MODERATE
LN-0002393,POOL-06,44.5,MODERATE
LN-0002394,POOL-02,70.6,HIGH
LN-0002395,POOL-05,21.7,LOW
LN-0002396,POOL-02,14.3,LOW
LN-0002397,POOL-04,24.9,LOW
LN-0002398,POOL-09,72.2,HIGH
LN-0002399,POOL-09,19.6,LOW
LN-0002400,POOL-09,10.4,LOW
LN-0002401,POOL-03,13.9,LOW
LN-0002402,POOL-09,11.2,LOW
LN-0002403,POOL-06,16.7,LOW
LN-0002404,POOL-04,17.5,LOW
LN-0002405,POOL-07,9.1,LOW
LN-0002406,POOL-09,12.8,LOW
LN-0002407,POOL-09,24.5,LOW
LN-0002408,POOL-09,69.2,HIGH
LN-0002409,POOL-07,29.1,LOW
LN-0002410,POOL-10,21.8,LOW
LN-0002411,POOL-01,22.0,LOW
LN-0002412,POOL-10,23.6,LOW
LN-0002413,POOL-05,18.4,LOW
LN-0002414,POOL-04,23.2,LOW
LN-0002415,POOL-06,22.5,LOW
LN-0002416,POOL-08,13.5,LOW
LN-0002417,POOL-05,22.6,LOW
LN-0002418,POOL-06,16.2,LOW
LN-0002419,POOL-03,20.6,LOW
LN-0002420,POOL-08,74.4,HIGH
LN-0002421,POOL-10,20.1,LOW
LN-0002422,POOL-01,13.2,LOW
LN-0002423,POOL-08,14.1,LOW
LN-0002424,POOL-04,25.5,LOW
LN-0002425,POOL-05,19.1,LOW
LN-0002426,POOL-07,21.8,LOW
LN-0002427,POOL-02,75.4,CRITICAL
LN-0002428,POOL-07,18.4,LOW
LN-0002429,POOL-01,20.0,LOW
LN-0002430,POOL-03,22.2,LOW
LN-0002431,POOL-10,12.8,LOW
LN-0002432,POOL-03,21.2,LOW
LN-0002433,POOL-04,20.3,LOW
LN-0002434,POOL-04,26.4,LOW
LN-0002435,POOL-03,21.9,LOW
LN-0002436,POOL-06,17.1,LOW
LN-0002437,POOL-09,22.3,LOW
LN-0002438,POOL-09,26.1,LOW
LN-0002439,POOL-05,24.9,LOW
LN-0002440,POOL-05,19.7,LOW
LN-0002441,POOL-03,75.6,CRITICAL
LN-0002442,POOL-06,19.4,LOW
LN-0002443,POOL-04,20.8,LOW
LN-0002444,POOL-03,18.5,LOW
LN-0002445,POOL-06,27.2,LOW
LN-0002446,POOL-02,22.2,LOW
LN-0002447,POOL-09,15.0,LOW
LN-0002448,POOL-07,10.1,LOW
LN-0002449,POOL-05,17.8,LOW
LN-0002450,POOL-05,26.1,LOW
LN-0002451,POOL-07,9.2,LOW
LN-0002452,POOL-05,36.3,MODERATE
LN-0002453,POOL-09,18.6,LOW
LN-0002454,POOL-04,14.4,LOW
LN-0002455,POOL-08,16.0,LOW
LN-0002456,POOL-09,17.2,LOW
LN-0002457,POOL-06,11.9,LOW
LN-0002458,POOL-05,13.9,LOW
LN-0002459,POOL-10,26.5,LOW
LN-0002460,POOL-07,25.0,LOW
LN-0002461,POOL-07,12.6,LOW
LN-0002462,POOL-10,16.0,LOW
LN-0002463,POOL-08,16.1,LOW
LN-0002464,POOL-07,21.8,LOW
